
(TPR): 10.0390%, (TNR): 97.8515%, (FPR): 2.1485%, (FNR): 89.9610%

(TPR): 14.0625%, (TNR): 98.2974%, (FPR): 1.7026%, (FNR): 85.9375%

(TPR): 15.7454%, (TNR): 98.4834%, (FPR): 1.5166%, (FNR): 84.2546%

(TPR): 15.3846%, (TNR): 98.4458%, (FPR): 1.5542%, (FNR): 84.6154%

(TPR): 14.2220%, (TNR): 98.3159%, (FPR): 1.6841%, (FNR): 85.7780%

(TPR): 16.3596%, (TNR): 98.5515%, (FPR): 1.4485%, (FNR): 83.6404%

(TPR): 15.8012%, (TNR): 98.4896%, (FPR): 1.5104%, (FNR): 84.1988%
